2025-05-20 13:17:28.451569 - 🚀 Starting article-compliant preprocessing pipeline...
2025-05-20 13:18:29.057509 - [✓] M16 - 4 (17).wav processed
2025-05-20 13:18:29.256241 - [✓] M16 - 4 (18).wav processed
2025-05-20 13:18:29.424667 - [✓] M16 - 4 (19).wav processed
2025-05-20 13:18:29.579621 - [✓] M16 - 4 (2).wav processed
2025-05-20 13:18:29.753841 - [✓] M16 - 4 (20).wav processed
2025-05-20 13:18:29.900737 - [✓] M16 - 4 (21).wav processed
2025-05-20 13:18:30.057637 - [✓] M16 - 4 (22).wav processed
2025-05-20 13:18:30.230008 - [✓] M16 - 4 (23).wav processed
2025-05-20 13:18:30.406137 - [✓] M16 - 4 (24).wav processed
2025-05-20 13:18:30.582634 - [✓] M16 - 4 (25).wav processed
2025-05-20 13:18:30.730713 - [✓] M16 - 4 (26).wav processed
2025-05-20 13:18:30.903469 - [✓] M16 - 4 (27).wav processed
2025-05-20 13:18:31.048780 - [✓] M16 - 4 (28).wav processed
2025-05-20 13:18:31.178684 - [✓] M16 - 4 (29).wav processed
2025-05-20 13:18:31.329033 - [✓] M16 - 4 (3).wav processed
2025-05-20 13:18:31.461326 - [✓] M16 - 4 (30).wav processed
2025-05-20 13:18:31.606132 - [✓] M16 - 4 (31).wav processed
2025-05-20 13:18:31.759728 - [✓] M16 - 4 (32).wav processed
2025-05-20 13:18:31.900982 - [✓] M16 - 4 (33).wav processed
2025-05-20 13:18:32.063294 - [✓] M16 - 4 (34).wav processed
2025-05-20 13:18:32.247962 - [✓] M16 - 4 (35).wav processed
2025-05-20 13:18:32.444837 - [✓] M16 - 4 (36).wav processed
2025-05-20 13:18:32.676979 - [✓] M16 - 4 (37).wav processed
2025-05-20 13:18:32.944740 - [✓] M16 - 4 (38).wav processed
2025-05-20 13:18:33.083810 - [✓] M16 - 4 (39).wav processed
2025-05-20 13:18:33.221213 - [✓] M16 - 4 (4).wav processed
2025-05-20 13:18:33.392119 - [✓] M16 - 4 (40).wav processed
2025-05-20 13:18:33.518563 - [✓] M16 - 4 (41).wav processed
2025-05-20 13:18:33.661702 - [✓] M16 - 4 (42).wav processed
2025-05-20 13:18:33.893834 - [✓] M16 - 4 (43).wav processed
2025-05-20 13:18:34.062106 - [✓] M16 - 4 (44).wav processed
2025-05-20 13:18:34.240416 - [✓] M16 - 4 (45).wav processed
2025-05-20 13:18:34.476943 - [✓] M16 - 4 (46).wav processed
2025-05-20 13:18:34.910966 - [✓] M16 - 4 (47).wav processed
2025-05-20 13:18:35.303073 - [✓] M16 - 4 (48).wav processed
2025-05-20 13:18:35.749287 - [✓] M16 - 4 (49).wav processed
2025-05-20 13:18:36.361881 - [✓] M16 - 4 (5).wav processed
2025-05-20 13:18:36.732363 - [✓] M16 - 4 (50).wav processed
2025-05-20 13:18:36.972308 - [✓] M16 - 4 (51).wav processed
2025-05-20 13:18:37.175325 - [✓] M16 - 4 (52).wav processed
2025-05-20 13:18:37.407327 - [✓] M16 - 4 (53).wav processed
2025-05-20 13:18:37.898006 - [✓] M16 - 4 (54).wav processed
2025-05-20 13:18:38.178358 - [✓] M16 - 4 (55).wav processed
2025-05-20 13:18:38.455043 - [✓] M16 - 4 (56).wav processed
2025-05-20 13:18:38.685621 - [✓] M16 - 4 (57).wav processed
2025-05-20 13:18:38.912824 - [✓] M16 - 4 (58).wav processed
2025-05-20 13:18:39.189498 - [✓] M16 - 4 (59).wav processed
2025-05-20 13:18:39.379611 - [✓] M16 - 4 (6).wav processed
2025-05-20 13:18:39.624061 - [✓] M16 - 4 (60).wav processed
2025-05-20 13:18:39.899548 - [✓] M16 - 4 (61).wav processed
2025-05-20 13:18:40.184004 - [✓] M16 - 4 (62).wav processed
2025-05-20 13:18:40.365195 - [✓] M16 - 4 (63).wav processed
2025-05-20 13:18:40.568075 - [✓] M16 - 4 (64).wav processed
2025-05-20 13:18:40.764514 - [✓] M16 - 4 (65).wav processed
2025-05-20 13:18:41.206577 - [✓] M16 - 4 (66).wav processed
2025-05-20 13:18:41.399197 - [✓] M16 - 4 (67).wav processed
2025-05-20 13:18:41.541640 - [✓] M16 - 4 (68).wav processed
2025-05-20 13:18:41.687733 - [✓] M16 - 4 (69).wav processed
2025-05-20 13:18:41.877398 - [✓] M16 - 4 (7).wav processed
2025-05-20 13:18:42.072003 - [✓] M16 - 4 (70).wav processed
2025-05-20 13:18:42.241831 - [✓] M16 - 4 (71).wav processed
2025-05-20 13:18:42.408534 - [✓] M16 - 4 (72).wav processed
2025-05-20 13:18:42.570194 - [✓] M16 - 4 (73).wav processed
2025-05-20 13:18:42.765357 - [✓] M16 - 4 (74).wav processed
2025-05-20 13:18:42.983744 - [✓] M16 - 4 (75).wav processed
2025-05-20 13:18:43.135440 - [✓] M16 - 4 (76).wav processed
2025-05-20 13:18:43.285788 - [✓] M16 - 4 (77).wav processed
2025-05-20 13:18:43.500031 - [✓] M16 - 4 (78).wav processed
2025-05-20 13:18:43.739707 - [✓] M16 - 4 (79).wav processed
